newspaper;title;date;abstract;link
Financial Times;on your marks, headset, go: my surprising, scary trip to themetaverse;February 24, 2023;...he also points out that vr and themetaverseitself are a sort of game....;https://www.ft.com/content/151b1d9b-4eb3-4016-a20e-75c387b94e0b
Financial Times;letter: themetaverseis like every new technology;February 22, 2023;...like every new technology, making themetaversea reality will take years of investment, commitment and ignoring the cynics....;https://www.ft.com/content/6c7773d0-8bb6-4746-860e-bfa4097dc068
Financial Times;meta: virtual reality ambitions meet real-world problemspremiumcontent;March 15, 2023;...the avatars in meta’s version of themetaversehave legs now. for tech giant meta, that counts as success. it needs every win it can get....;https://www.ft.com/content/ac902303-00c5-4e66-89ab-b6e560a61151
Financial Times;metaversecreator neal stephenson on the future of virtual reality;February 24, 2023;...do we need a headset to experience themetaverse?...;https://www.ft.com/content/0ecab009-6543-4386-b936-0eecc9293d2e
Financial Times;what gucci and others learnt from themetaverse;February 24, 2023;...the beanie’s journey frommetaverseto reality is a trick the company is keen to repeat....;https://www.ft.com/content/d4c3d51f-4568-400e-8ca9-7706539d9cae
Financial Times;philosophy class: on your marks, headset, go: my surprising, scary trip to themetaverse;March 12, 2023;...how could the existence of themetaversesupport scepticism about the external world?...;https://www.ft.com/content/03c3d8b8-0575-4788-915b-015f026450d5
Financial Times;themetaverseexplained;February 24, 2023;...what is themetaverse?  tim bradshaw on the trouble with definitions  in themetaverse, we are promised, we can be anyone, do anything and go anywhere....;https://www.ft.com/content/3045787e-9e03-4d37-9a3e-eb580690de6a
Financial Times;whatever happened to themetaverse?;February 16, 2023;...themetaversehas a couple of major problems....;https://www.ft.com/content/bddec314-3f4c-4296-ae6f-eb2a5328c109
Financial Times;ftav’s further reading;March 17, 2023;...the hill)  — wealthy executives make millions trading competitors’ stocks with remarkable timing (propublica)  — gpt-4 makes money, codes extensions and gets hacked (twitter)  — who is still inside themetaverse...;https://www.ft.com/content/d1eea520-68c4-4602-8b40-ffd27fc2b20f
Financial Times;courses in themetaversestruggle to compete with real world;March 12, 2023;...“we have to offer people a wow experience in themetaverse,” muylle argues....;https://www.ft.com/content/4ea0dccb-aad7-4bac-95de-c6e3f122d015
Financial Times;from marijuana to themetaverse: specialised etfs underperform;February 2, 2023;...in 2021, investors’ dreams included bitcoin, electric cars and themetaverse.  naturally, etf issuers design new products with one consideration in mind: to maximise their revenues....;https://www.ft.com/content/48fd0fd2-f12c-43ac-93f4-a25074fcb35f
Financial Times;further reading;February 8, 2023;...(vice)  — meta, long an ai leader, tries not to be left out of the boom (nytimes)  — visual design rules you can safely follow every time (anthony hobday)  — are brands protected in themetaverse?...;https://www.ft.com/content/65148c68-af28-4829-9d8e-7562247eed50
Financial Times;business schools explore teaching in themetaverse;November 29, 2022;...“themetaverseis not meant to replace, it’s meant to enhance.”...;https://www.ft.com/content/260e92f8-980d-4930-8b5f-f8e32d407d0b
Financial Times;metaversestorms etf charts to become industry’s hottest concept;December 19, 2022;...$400mn roundhill ballmetaverseetf (metv), which launched in june 2021....;https://www.ft.com/content/3200612c-6ec7-4667-83e9-1d94568603fa
Financial Times;lawyers zoom in on themetaverse;October 14, 2022;...german law firm gleiss lutz opened an office in themetaversein july....;https://www.ft.com/content/3f17960c-fa99-4d17-8397-1bb71f28be70
Financial Times;letter: if investors are sceptical, then meta has an issue;February 28, 2023;...the letter from vishal shah, vice-president for themetaverseat meta, as facebook is now renamed, rang some alarm bells with me (“themetaverseis like every new technology”, february 22)....;https://www.ft.com/content/be8e696d-c083-48f5-9661-5e4c69d28344
Financial Times;a day at the virtual office;February 24, 2023;...themetaversenot only provides an informal setting for a staff away day but it also saves on the need for international flights and hotels....;https://www.ft.com/content/2e195603-af1e-4d4f-b0d4-7f84e8c49738
Financial Times;themetaverserevolution may yet devour meta;October 13, 2022;...there are three good reasons for doubting that meta will ever “own” themetaverse....;https://www.ft.com/content/d39db54e-e1a6-4938-9b5c-b0bd41a41907
Financial Times;the real future of themetaverseis not for consumers;November 23, 2022;...so, themetaverseisn’t dependent on a virtual reality headset....;https://www.ft.com/content/af0c9de8-d36e-485b-9db5-5ee1e57716cb
Financial Times;it’s time to plan for themetaverse. no, we don’t know what that means either;October 31, 2022;...we all know themetaverseis coming, but few of us know what we’ll do when we get there....;https://www.ft.com/content/41c59dc9-6185-4142-95b6-8aba8d2d84b3
Financial Times;meta: taking spending back to realitypremiumcontent;February 2, 2023;...for starters, zuckerberg has not abandoned his dreams of conquering themetaverse....;https://www.ft.com/content/06b0839c-9b6a-4239-acb7-b2c1baa19812
Financial Times;jpmorgan takes its business to themetaversepremiumcontent;October 24, 2022;...“overall, volumes are growing strong and our presence in themetaverseis primarily an investment in the future.”...;https://www.ft.com/content/fe079657-0a3f-4b12-a209-a091c74d33aa
Financial Times;asia’s largestmetaverseplatform zepeto ramps up global expansion;September 27, 2022;...last year, the south korean government launched a “metaversealliance” of more than 200 companies and institutions....;https://www.ft.com/content/14c88e84-f3c8-485e-a9df-31ead34e48f0
Financial Times;meta shareholders vent anger at zuckerberg’s spending binge;October 31, 2022;...“they’re spending $15bn a year on themetaverseand they can’t give us any mile-markers. it’s just a big hope.”...;https://www.ft.com/content/0f4c676c-56a6-4b5e-850f-ddb78f9feb40
Financial Times;themetaverseis evolving from fiction into fact;September 1, 2022;...out of all that intellectual ferment, the futuremetaversewill evolve....;https://www.ft.com/content/ddbefa19-6162-4bf4-b93c-a63df4543764
Financial Times;ubs and julius baer grapple with offering wealth advice in themetaverse;November 6, 2022;...themetaverseis an immersive virtual world where people wearing headsets interact with one another as three-dimensional avatars....;https://www.ft.com/content/929fbc8e-0ca6-4324-8c84-2d61d27f479c
Financial Times;further reading;November 2, 2022;...(the observer)  — ways to think about ametaverse(benedict evans)  — are gas stoves the new cigarettes?...;https://www.ft.com/content/568bb121-7cf0-4973-ab87-02802a410fb1
Financial Times;meta job cuts provide a post-pandemic reality check: ‘the bubble has burst’;November 10, 2022;...themetaversestrategy remains a head-scratcher and social media headwinds are gathering.”  additional reporting by richard waters in san francisco...;https://www.ft.com/content/c73e861f-0d98-4b34-b5b7-25f7bc2e5d2b
Financial Times;asset management: millennium’s secret weapon;December 19, 2022;...a total of 35metaverse-badged etfs have launched globally since the first rolled off the conveyor belt in june 2021, according to data from morningstar, writes steve johnson....;https://www.ft.com/content/76528b99-011c-4bab-8de3-b37047976477
Financial Times;big tech races to adapt to ai;March 16, 2023;...he also pointedly singled it out ahead of themetaversewhen discussing the technologies with the most importance to meta’s business....;https://www.ft.com/content/40a18997-e3b6-4e9d-bb2a-118d5ce34126
Financial Times;what’s the story, hunky tory?;August 24, 2022;...matt hancock, of “matt hancock mp” app fame, has entered themetaverse....;https://www.ft.com/content/80cba50e-a0b6-4b75-a1b7-dc23fd413435
Financial Times;john hanke: a real-worldmetaversewill be more magical than vr;October 3, 2022;...john hanke has been pursuing a “real-worldmetaverse”, using augmented reality (ar) to encourage people to explore their actual surroundings....;https://www.ft.com/content/40d81fa4-67e6-40ea-b077-ba09484ba151
Financial Times;bored ape nft-maker announces daniel alegre as new chief;December 19, 2022;...“when it comes to themetaverse, we’re competing with giants....;https://www.ft.com/content/c2c8e9a1-e58a-4299-a6f2-7e1243f66048
Financial Times;further reading;October 26, 2022;"yeezy; twitter; excess gas; video games; liz truss; british poverty; hotels for the homeless; andmetaversedog dirt";https://www.ft.com/content/159ca3ee-2756-4a70-ae74-3d9a1bc55166
Financial Times;affairs and takeovers but absolutely no secret agendas;March 20, 2023;...best, rutherford  member dcms panel on business and themetaversefind me on strava, kom sydenham hill, pr london to brighton 3h 47m  whatsapp to stephen: ok mate....;https://www.ft.com/content/6766bb37-881e-458f-8d30-c5346eb36c40
Financial Times;further reading;October 11, 2022;...successful internet messageboard eventually turns into a death cult, memestock edition (twitter)  — the story of solar power in the uk (lse)  — skepticism, confusion, frustration: inside mark zuckerberg’smetaverse...;https://www.ft.com/content/584f92a8-f0d6-4e39-9252-4a2da1e58f88
Financial Times;china’s military companies seek new backers and themetaversegets bigger;September 29, 2022;...“they are hoping, in a few years, that these chinese firms can resume their technological developments, despite these hits.”expanding themetaverseasia’s largestmetaverseplatform, zepeto, is stepping...;https://www.ft.com/content/1bff538e-4b0f-4c2a-a063-76ee4b45734e
Financial Times;three europeanmetaverseetfs launch in two days;September 12, 2022;...benchmarked against the istoxx accessmetaverseindex, themetaverseetf has a total expense ratio of 0.39 per cent....;https://www.ft.com/content/43c7c33f-4233-4a84-98c0-e4c049e1d780
Financial Times;themetaverseby matthew ball — a glimpse of the future;July 14, 2022;...according to ball, meta is now investing more than $10bn a year on themetaverse....;https://www.ft.com/content/2258dda9-af91-46ba-b56b-08c790f1d47b
Financial Times;meta: low-qualitymetaversepicture is needless own goalpremiumcontent;August 22, 2022;...themetaverseselfie zuckerberg uploaded was supposed to herald the launch of the virtual reality platform in france and spain....;https://www.ft.com/content/1e89b414-ed45-4ddb-9188-e45e6ca49b07
Financial Times;nvidia:metaversechipmaker gets reality checkpremiumcontent;September 1, 2022;...nvidia is known for its bet on cutting edge graphics chips — the kind designed to power a gamer-ledmetaverse....;https://www.ft.com/content/4c9cfdfe-9b3a-4a20-89f3-f9758bdff44f
Financial Times;zuckerberg’smetaverserush pauses for ‘quality lockdown’;October 7, 2022;...he added that the level of meta’s investment in themetaversewas “worrisome” to investors. “themetaverseas meta envisions it is not investable today....;https://www.ft.com/content/dc1f4240-dffa-4e28-ae4a-d31398d9bd7a
Financial Times;further reading;September 28, 2022;...and granting of help (princeton university pdf)  — the child care crisis just keeps getting worse (vox)  — on tiktok, an album containing old wartime photos causes havoc (new yorker)  — my night at themetaverse...;https://www.ft.com/content/ec3aa595-a66b-4250-9153-d4c00940a5db
Financial Times;further reading;February 10, 2023;...(city journal)  — the atlanta billionaire behind goldman’s latest consumer-lending push (wsj)  — how our reality may be a sum of all possible realities (quanta)  — the rocky rise of bondee, themetaverse...;https://www.ft.com/content/a5a05e41-e6c0-4eb7-a910-492ea9305fbe
Financial Times;into the bankingverse with nvidia;December 12, 2022;...(that reference to themetaverseis absent in deutsche’s own version of the release)....;https://www.ft.com/content/d40a0676-89c7-48d4-832c-b68c52ed68c1
Financial Times;‘you look like you’re swimming in cash when everyone else is swimming in sewage’;February 20, 2023;...best, rutherford  member dcms panel on business and themetaversefind me on strava . . .  whatsapp to stephen: honestly mate, i’m on it....;https://www.ft.com/content/5205126e-35b9-4b6f-84bf-20aeed7e95f3
Financial Times;meta shares soar on resilient revenue and $40bn in buybacks;February 2, 2023;...in the fourth quarter, revenues from reality labs, itsmetaverseunit, fell to $727mn from $877mn a year ago, while losses were $4.3bn compared with $3.3bn the prior year....;https://www.ft.com/content/c90c3700-eeca-419d-bd1d-8758142b17b7
Financial Times;majormetaversemovers talk standardspremiumcontent;June 21, 2022;...so, the announcement today of themetaversestandards forum has to be welcomed — it brings together most of the major players in an effort to try to ensure there is interoperability betweenmetaversesand...;https://www.ft.com/content/18192c04-0944-4372-8123-dc2a87f725aa
Financial Times;meta axes further 10,000 jobs in fresh round of cuts;March 14, 2023;...at the same time, zuckerberg has pivoted his company’s focus to investing $10bn a year into building a digital avatar-filledmetaverse, an initiative that is unlikely to be profitable for years....;https://www.ft.com/content/57d43e90-f23e-48c4-8f62-2b6981e136e4
Financial Times;meta delays setting team budgets as it plans fresh round of job cuts;February 11, 2023;...projects and decisions that usually take days to sign off are now taking about a month in some cases, even in priority areas including themetaverseand advertising, those people said....;https://www.ft.com/content/3f3c3fe7-fedd-4fcd-a3d9-6ce44fe56e08
Financial Times;meta delays setting team budgets as it plans fresh round of job cuts;February 11, 2023;...projects and decisions that usually take days to sign off are now taking about a month in some cases, even in priority areas including themetaverseand advertising, those people said....;https://www.ft.com/content/3f3c3fe7-fedd-4fcd-a3d9-6ce44fe56e08
Financial Times;do i have to split my wealth 50/50 with my husband?;December 7, 2022;...mostmetaverseshave their own associated cryptocurrencies, such as mana within the “decentraland”metaverse....;https://www.ft.com/content/cfd7dbfc-3a77-47d1-a4d5-d61573af027f
Financial Times;welcome to your office in themetaverse;May 25, 2022;...presence in themetaverse....;https://www.ft.com/content/3040952c-b107-46bf-94a2-afc3e8bf61ce
Financial Times;meta: sheryl sandberg exits themetaversepremiumcontent;June 2, 2022;...in the last quarter, the net loss for reality labs, home of themetaverseproject, was close to $3bn — equal to a fifth of the company’s cash and cash equivalents....;https://www.ft.com/content/a8f89315-a6a0-4148-ac54-18925e5d7cf5
Financial Times;meta doubles down on its risky big bet;November 1, 2022;...the fixation with themetaverse— a shared virtual space where users can shop, play games, or hang out with friends — is in many ways understandable....;https://www.ft.com/content/40f6f353-bfcc-4f24-bdac-8ed8195498e5
Financial Times;investors’ enthusiasm for themetaverseremains overheated;June 8, 2022;...this stretching of the scope has been easier given the complexity of defining themetaverse....;https://www.ft.com/content/587d1d4f-6215-47af-92ff-07cc27ab4625
Financial Times;tim sweeney on epic’smetaverse;June 20, 2022;...like, what more do you need to show that themetaverseexists?...;https://www.ft.com/content/e74dbeaa-3ff6-4cf5-ade1-518c38291b61
Financial Times;further reading;January 10, 2023;...and a miss: university of california’s poor breit investment (warden capital)  — how the world turned global: a review of jonathan sperber’s the age of interconnection (the new statesman)  — web3, themetaverse...;https://www.ft.com/content/6089a39d-8d5b-4fd9-9a83-9444038e5954
Financial Times;the realmetaversewas the fun we had along the way;May 15, 2022;...you had ametaverseexperience. dumped your life’s savings into dogecoin? that’s right, you had ametaverseexperience (and you are probably pissed)....;https://www.ft.com/content/40f545c1-178e-43ef-8bac-6010c7781a77
Financial Times;crypto libertarians find out sanctions apply to them toopremiumcontent;August 12, 2022;...“if a sizeable open-metaversematerialised, households may hold a greater share of their wealth in cryptoassets . . . indirectly, if people are increasingly employed in jobs inmetaverse-based settings,...;https://www.ft.com/content/01319f25-d335-47ee-92e1-690dff147be5
Financial Times;big tech tiptoes to themetaverse;June 9, 2022;...metaverse? whatmetaverse?...;https://www.ft.com/content/96b3b762-061c-4e41-a720-2bc88612d10c
Financial Times;meta’s value plunges by $89bn amid falling sales and rising costs;October 27, 2022;...“zuckerberg’s decision to focus his company on the future promise of themetaversetook his attention away from the unfortunate realities of today.”...;https://www.ft.com/content/9e457f1a-ee9f-419d-b8aa-2b54f7809705
Financial Times;‘you’re a founding partner having a fling with a staff member. how can you not see a problem?’;February 6, 2023;...rutherford  member dcms panel on business and themetaversefind me on strava . . .  whatsapp to sue: i’m so sorry. he’s an idiot....;https://www.ft.com/content/906d6859-1cd0-4bb9-9d2e-01adef5ade5f
Financial Times;lego bets on collaboration with epic games after outpacing rivals;March 7, 2023;...it is preparing to announce details of a collaboration in themetaversewith epic games, known for the fortnite video game, and is aiming to replace all fossil fuel-based plastic in its sets and packaging...;https://www.ft.com/content/f66e8bc4-ff52-42f7-b013-59efa6081816
Financial Times;meta’s woes spur brutal reassessment of big tech’s bets;October 28, 2022;...the first is the promised arrival of themetaverse— the name given to a more immersive version of today’s internet....;https://www.ft.com/content/f24edcb8-74a1-45da-8eb9-108ecc0da9ae
Financial Times;metaversedating app popular with young people in china vies for hk listing;July 1, 2022;...the social app lets users pick avatars and interact in themetaverse, with many of its 32mn users flocking to its app for dating....;https://www.ft.com/content/a475774a-6f54-426d-99b0-08f05bd992dc
Financial Times;losing your life savings on crypto is a brexit opportunity;December 12, 2022;...ciao, rutherford  member dcms panel on business and themetaversefind me on strava . . ....;https://www.ft.com/content/d6443e41-ac8b-43a1-9d42-ef8eb19287d4
Financial Times;cryptocurrency prices soar on support for silicon valley bank depositors;March 13, 2023;...“crypto is not going to live in a cartoonmetaverse, it needs access to the real world....;https://www.ft.com/content/488d22cb-9aa4-44c8-8961-f2be235a868c
Financial Times;big tech: powell has put pep back in their steppremiumcontent;February 3, 2023;...in 2022, the shares of facebook owner meta fell by almost two-thirds, driven by mark zuckerberg’s insistence on spending tens of billions on his vision for themetaverse....;https://www.ft.com/content/f851ec6f-4095-4864-a93b-b70758ac890f
Financial Times;‘instead of your whole self, can we just have the part of you that does your job properly?’;January 23, 2023;...rutherford  member dcms panel on business and themetaversefind me on strava, kom sydenham hill, pr london to brighton 3h 47m  whatsapp to stephen: where are you today?...;https://www.ft.com/content/fc6f678e-4877-4725-81cf-60c77a3a35b4
Financial Times;there are only five reasons to go to davos;January 9, 2023;...best, rutherford  member dcms panel on business and themetaversefind me on strava, kom sydenham hill, pr london to brighton 3h 47m  whatsapp to stephen: an excellent new year thanks....;https://www.ft.com/content/f200b446-6792-436f-8ad6-03ab212569c4
Financial Times;jewellers and watchmakers grapple with when to enter themetaverse;July 8, 2022;...“ignoring [themetaverse] is going to be very dangerous in three years’ time,” he says....;https://www.ft.com/content/13aa0026-b559-4c03-af76-96c5d61d2f4f
Financial Times;moviepass is back and this time it’s crypto, because of course it is;January 13, 2023;...animoca is perhaps best known for running the sandbox, an ethereum-poweredmetaverseworld whose apparent underpopulation hasn’t stopped it attracting big name tenants including hsbc....;https://www.ft.com/content/76fadfe5-7231-4cb0-9920-9006825ed928
Financial Times;artist markus selg: ‘we’re further in themetaversethan most of us think’;June 25, 2022;...we are just doing our first strokes on this big wall we’re creating, which many people call themetaverseor whatever.”...;https://www.ft.com/content/1efba8e4-4283-4be8-afa1-c64aa776d084
Financial Times;the dollar is king . . . even in defipremiumcontent;August 26, 2022;...come for crypto’s ongoing battle with the us government, and stay for matt hancock’s hilarious debut in themetaverse. have thoughts on what you’d like to read in this newsletter?...;https://www.ft.com/content/78380445-b0f1-4fbb-82f3-321873ed9b62
Financial Times;virtual clubbing points to future profits from themetaverse;May 24, 2022;...until now, social media companies have led spending on themetaversein hopes of gaining a stronghold on the growing industry....;https://www.ft.com/content/bc6939ee-598a-46b9-b9ce-6c8fdd378f66
Financial Times;meta: zuckerberg’s ambitions become costly as profits erodepremiumcontent;October 27, 2022;...both figures would represent annual double-digit percentage growth as zuckerberg goes all-in on artificial intelligence and themetaverse....;https://www.ft.com/content/467db649-ca1a-4927-a9ba-6f8be118f29d
Financial Times;virtual worlds are still more minecraft thanmetaverse;April 5, 2022;...within minutes of jumping into themetaverse, my character’s run slowed to a crawl....;https://www.ft.com/content/030f55f4-0b95-4e89-a903-6b9a48070f4c
Financial Times;ftx collapse puts its auditors in the spotlight;November 13, 2022;...it has also sought to offer advice to businesses setting up operations in the immersive virtual worlds known as themetaverse....;https://www.ft.com/content/930c6cea-5457-4dfa-9d47-666c0698c335
Financial Times;meta: virtual reality gets down to workpremiumcontent;October 11, 2022;...see the inclusion of microsoft as a partner, adding content such as windows apps to meta’smetaverse....;https://www.ft.com/content/34e20f7c-b1b0-449c-b77c-73b850e84cc9
Financial Times;firstft: cbo warns us government risks default as soon as july;February 16, 2023;...opinion: whatever happened to themetaverse? themetaversenever really began — and yet it’s already over, writes jemima kelly. enthusiasm for a virtual future is draining away, and so is investment....;https://www.ft.com/content/e670b020-934c-44ed-a9bd-ce35d41bfc6c
Financial Times;meta cuts 11,000 staff in largest cull in company’s history;November 9, 2022;...“the company has one foot in a risky long-termmetaversebet and another foot failing to compete with tiktok....;https://www.ft.com/content/348068b1-24d9-434b-9ae7-6599027bf84f
Financial Times;meta: facebook pivots frommetaverseto tiktokpremiumcontent;April 28, 2022;...reality labs, where themetaverseis being cooked up, lost $3bn in the last quarter. across the company, r&d costs rose 48 per cent....;https://www.ft.com/content/22f75c34-71af-4ece-9951-7b863a17ccf5
Financial Times;improbable closes in on $100mn in new funding despite biggest loss;September 30, 2022;...the high-profile bored apes collaboration also helped to attract a “broad base of customers” to itsmetaversebusiness, most of whom come from outside gaming, narula added....;https://www.ft.com/content/e0e7cf90-0c5e-4a56-8285-9d36f8c43264
Financial Times;bts agency hybe in corporate battle over k-pop talent stream;February 16, 2023;...lee soo-man and hybe chair bang si-hyuk issued a joint statement promising to grow both companies so as to “enhance k-pop’s global competitiveness” and to pursue lee’s vision of establishing k-pop in themetaverse...;https://www.ft.com/content/e0fec530-6a85-4ad0-8c97-fc040d7383af
Financial Times;inside mastercard’s first party in themetaversepremiumcontent;April 11, 2022;...“metaversefor us is here to stay....;https://www.ft.com/content/4581b407-ee2e-4340-804d-089bf2dd126a
Financial Times;crypto is back with $300bn frenzy;February 3, 2023;...meta platforms has embraced crypto’s web 3 culture but itsmetaverseunit — reality labs — is not generating much bang for its buck....;https://www.ft.com/content/eec4f90e-53a6-4f23-9c6f-fef72fdd7f30
