newspaper;title;date;abstract;link
The Times;paedophiles are abusing children in the metaverse, say police;Wednesday February 22 2023;the police have recorded the first child abuse crimes in themetaverseand data shows that paedophiles use snapchat as their social media platform of choice.themetaverse, which is …;https://www.thetimes.co.uk/article/paedophiles-are-abusing-children-in-the-metaverse-say-police-70jrvfd2m
The Times;i went on a house viewing in the metaverse — and it was bonkers;Wednesday February 15 2023;… anywhere in the world.”so would i buy a home i viewed exclusively in themetaverse? the jury’s out. i considermetaverseviewings as a great tool to sort …;https://www.thetimes.co.uk/article/i-went-on-a-house-viewing-in-the-metaverse-and-it-was-bonkers-bvmmzl7h5
The Times;a virtual landgrab as buyers snap up property in metaverse;Monday January 23 2023;… did not see an issue with the business model.he said: “there will be ametaversewith land, there will be ametaversewithout land. and it’s just exciting …;https://www.thetimes.co.uk/article/a-virtual-landgrab-as-buyers-snap-up-property-in-metaverse-swggbjzg0
The Times;harsh reality crashes into the metaverse;Saturday January 7 2023;… ces conference, said this year there would finally be “substance forming around this trend ofmetaverse”.he was careful to add a caveat. “any dialogue aroundmetaverseis very likely …;https://www.thetimes.co.uk/article/harsh-reality-crashes-into-the-metaverse-kct7lwxfp
The Times;eu throws gala party for ‘global gateway’ metaverse — and only a handful of people show up;Thursday December 1 2022;the much-vauntedmetaverseis a virtual world of immersive experiences and transhuman avatars but, as the european union has discovered, it can be a real life disaster.after spending …;https://www.thetimes.co.uk/article/eu-throws-gala-party-for-global-gateway-metaverse-and-only-five-people-show-up-3psx0mq99
The Times;metaverse is no substitute for real-world technology insights at web summit;Wednesday November 2 2022;… might be renowned for its young digital nomads, moving here to work remotely, but themetaversehas not yet got the edge on sitting down face-to-face.katie prescott …;https://www.thetimes.co.uk/article/metaverse-is-no-substitute-for-real-world-technology-insights-at-web-summit-0rh5s5nqt
The Times;history tells us the metaverse could take off. for now it’s sadville 2.0;Saturday October 29 2022;… founder has bet his company, his fortune and his reputation on the idea that themetaverse, an immersive world accessed by virtual-reality goggles, is the “next iteration of the …;https://www.thetimes.co.uk/article/mark-zuckerberg-metaverse-ghost-town-3vcpn36lg
The Times;across the metaverse: pop industry goes virtual;Sunday October 23 2022;… are investors.however, other music industry figures are more sceptical about whether music in themetaversewill take off.inder phull runs ametaversemusic company called pixelynx, which was …;https://www.thetimes.co.uk/article/across-the-metaverse-pop-industry-goes-virtual-c9vn3fpd3
The Times;legal tech course beamed from the metaverse;Thursday October 20 2022;… lawyers help clients to navigate novel legal and regulatory issues relating to technology, including themetaverse, nfts, blockchains (the digital ledgers that underpin nfts and cryptocurrencies), robotics and artificial intelligence …;https://www.thetimes.co.uk/article/legal-tech-course-beamed-from-the-metaverse-zsh82t6fk
The Times;clouds gather on the horizon for mark zuckerberg’s metaverse;Saturday October 8 2022;… at meta want to use it, leaks suggest. memos from a senior executive overseeing themetaversefor zuckerberg appear to show that horizon, the virtual world the company has built …;https://www.thetimes.co.uk/article/clouds-gather-mark-zuckerberg-metaverse-qnlxv22bg
The Times;millions visit nikeland as brands fashion a future in the metaverse;Monday October 3 2022;nike has attracted tens of millions of visitors to its virtual store in themetaverseas it moves to make “deep consumer connections” online.more than 21 million people explored …;https://www.thetimes.co.uk/article/millions-visit-nikeland-as-brands-fashion-a-future-in-the-metaverse-sb2lzrghx
The Times;mark zuckerberg gets lost in space on his risky mission to metaverse;Saturday September 24 2022;…metaversemakes limitations of virtual world a realityas it ploughs eye-watering sums into themetaverse, executives at meta say that the endeavour stands to lose significant amounts of cash …;https://www.thetimes.co.uk/article/mark-zuckerberg-gets-lost-in-space-on-his-risky-mission-to-metaverse-dvvqwz5n9
The Times;how we can preserve the rule of law in the metaverse;Thursday September 22 2022;… fear did not feel virtual.this kind of virtual reality offers a hint of the “metaverse”, a concept popularised last year by mark zuckerberg when he announced facebook would be …;https://www.thetimes.co.uk/article/how-we-can-preserve-the-rule-of-law-in-the-metaverse-shzjpxw6j
The Times;invesco manager joins big players seeking fortune in the metaverse;Monday August 29 2022;… investors to back companies involved in producing similarly immersive online experiences, otherwise known as themetaverse.mark zuckerberg unleashed speculation about the future in october when he painted a picture …;https://www.thetimes.co.uk/article/invesco-manager-joins-big-players-seeking-fortune-in-the-metaverse-6bd929xsc
The Times;out of this world! mtv video music awards will celebrate metaverse pop shows;Tuesday August 2 2022;…metaverseto create a digital museum.bieber performed his album justice live on wave, ametaverseplatform last year. an avatar of the canadian singer crooned on a car bonnet …;https://www.thetimes.co.uk/article/out-of-this-world-mtv-video-music-awards-will-celebrate-metaverse-pop-shows-ptb38bfqp
The Times;my metaverse is better than yours, mark zuckerberg;Sunday July 31 2022;… of the real and the virtual world, the present, past and future? “welcome to themetaverse,” says herman narula, the man who is playing a leading role in creating it …;https://www.thetimes.co.uk/article/my-metaverse-is-better-than-yours-mark-zuckerberg-c60ttz83z
The Times;tempest fighter jet: inside the virtual cockpit bringing the metaverse to warfare;Sunday July 17 2022;a fighter jet screams out of the sky and dances left and right to dodge its enemy. inside the cockpit, there are;https://www.thetimes.co.uk/article/tempest-fighter-jet-inside-the-virtual-cockpit-bringing-the-metaverse-to-warfare-bfs2bdcxg
The Times;the metaverse by matthew ball review — are you ready for a virtual reality orgy?;Monday July 11 2022;… american children “play” a single game, roblox — widely considered to be a kind of proto-metaverse. for this emerging generation themetaversewill be a perfectly natural psychological extension of …;https://www.thetimes.co.uk/article/the-metaverse-matthew-ball-review-get-a-grip-on-a-looming-alternate-reality-lqscp93fk
The Times;refugees open the door to the metaverse in britain;Thursday July 7 2022;… embrace hybrid learning during the pandemic. now it wants to be a pioneer of themetaverselearning experience.themetaverseis an immersive digital realm where users can interact without …;https://www.thetimes.co.uk/article/refugees-open-the-door-to-the-metaverse-in-britain-gzx5gph93
The Times;a thriving metaverse needs to have all the big players on board;Wednesday June 29 2022;… loudly facebook, when it rebranded itself as meta in october last year.last week a “metaversestandards forum” was launched to “promote collaboration” during the development of themetaverse. founding …;https://www.thetimes.co.uk/article/a-thriving-metaverse-needs-to-have-all-the-big-players-on-board-d5t57hzgv
The Times;sheryl sandberg on her way out of meta platforms amid shift to metaverse;Friday June 3 2022;… battered by a string of scandals and as it invests billions of dollars in the “metaverse,” an immersive digital realm that many in silicon valley deem to be the future …;https://www.thetimes.co.uk/article/sheryl-sandberg-on-her-way-out-of-meta-platforms-amid-shift-to-metaverse-qs28pp6rs
The Times;columbus steps into new world of metaverse with an nft;Monday May 30 2022;… new world but the house of alba’s venture into the new world of themetaverse, said emilio ramirez of the house of alba foundation.with more than 50 castles …;https://www.thetimes.co.uk/article/columbus-steps-into-new-world-of-metaverse-with-an-nft-k99g7hwnp
The Times;metaverse offers new horizons in an alpine resort;Saturday May 28 2022;… a showroom where delegates could slip on an oculus virtual reality headset and experience themetaverse, on which the technology giant is spending tens of billions of dollars in the …;https://www.thetimes.co.uk/article/metaverse-offers-new-horizons-in-an-alpine-resort-mvnl2k258
The Times;harry wallop: a morning in the metaverse makes limitations of virtual world a reality;Friday May 13 2022;i spent monday morning in themetaverse. mostly so that i could write that i spent monday morning in themetaverse, because i think that makes me sound hip and …;https://www.thetimes.co.uk/article/harry-wallop-a-morning-in-the-metaverse-makes-limitations-of-virtual-world-a-reality-hx55jrqdh
The Times;life isn’t easy for investors as they navigate the metaverse;Tuesday May 3 2022;… owner of facebook and instagram is trying to reinvent itself as a gatekeeper of the “metaverse”, a virtual realm where users interact without being physically together. hence the group’s …;https://www.thetimes.co.uk/article/life-isn-t-easy-for-investors-as-they-navigate-the-metaverse-tmnmlk95f
The Times;channel 4 dispatches exposé finds abuse and racism rife in metaverse;Monday April 25 2022;an undercover documentary has revealed rampant sexual and racist abuse in the virtual reality world of themetaverse.the investigation by channel 4’s dispatches uncovered disturbing behaviour by a …;https://www.thetimes.co.uk/article/channel-4-dispatches-expose-finds-abuse-racism-rife-metaverse-rll78pwks
The Times;fortnite developer raises $2bn to help its move into the metaverse;Tuesday April 12 2022;epic games, the developer behind fortnite, has raised $2 billion from sony and the group behind lego in the latest bet on themetaverse.the american business was valued at …;https://www.thetimes.co.uk/article/fortnite-developer-raises-2bn-to-help-its-move-into-the-metaverse-tlwhpqtq6
The Times;mandela metaverse lets family take short walk to the bank;Friday March 25 2022;nelson mandela is joining themetaversewith a project designed to “amplify african voices” that will include digital art collections and a holographic gala.the mandela family’s long walk …;https://www.thetimes.co.uk/article/mandela-metaverse-lets-family-take-short-walk-to-the-bank-bmn5mncwz
The Times;adobe boss shantanu narayen seeks to conquer the metaverse;Sunday March 20 2022;… its heels. so what is narayen doing to turn the tide?his answer: conquer themetaverse.yes, adobe — a company perhaps best known as the creator of the staid, trusty …;https://www.thetimes.co.uk/article/adobe-boss-shantanu-narayen-seeks-to-conquer-the-metaverse-8n2hntmm2
